stop_id,name,lat,lng
3332,Conley Road at Staples,38.95313262939453,-92.29364776611328
3156,Conley Road at Walmart,38.95573425292969,-92.29423522949219
3372,East Broadway & Broadway Village Drive,38.947357177734375,-92.30355834960938
2532,East Broadway & Dorsey Street,38.951141357421875,-92.31936645507812
3235,East Broadway & Fyfer Place,38.949947357177734,-92.31359100341797
3236,East Broadway & Green Valley Drive,38.948387145996094,-92.30732727050781
3473,East Broadway & Jacobs Place,38.94662094116211,-92.2979965209961
3367,East Broadway & Trimble Road,38.94704818725586,-92.30039978027344
3019,East Broadway at Medical Plazas 3 and 4,38.95022964477539,-92.31441497802734
3160,East Broadway at Stephens Lake Park,38.94834518432617,-92.30634307861328
3341,Hitt Street & Paquin Street,38.94784164428711,-92.32564544677734
2561,Hitt Street & University Avenue,38.946529388427734,-92.3256607055664
3389,Locust Street & South Tenth Street (East),38.94936752319336,-92.32669067382812
2864,Locust Street & South Tenth Street (West),38.94956970214844,-92.32662200927734
3552,Locust Street & Tenth Street ,38.94956588745117,-92.32640075683594
2556,North Keene Street & Portland Street,38.95289611816406,-92.28997039794922
2537,North Keene Street at Keeneland Downs Apartments,38.95016098022461,-92.2905502319336
2457,North Keene Street at Moser's Foods,38.96013641357422,-92.28885650634766
3412,North Keene Street at the Women's and Children's Hospital,38.95755386352539,-92.28948211669922
3276,Paquin Street at Paquin Towers,38.94768142700195,-92.32365417480469
3161,South William Street at Boone Hospital,38.949188232421875,-92.31717681884766
3213,Trimble Road & Broadway Bluffs Drive,38.94799041748047,-92.29901123046875
3338,University Avenue & Matthews Street,38.946346282958984,-92.3232192993164
2774,Wabash Station,38.95344543457031,-92.32564544677734
2715,Carter Lane and Green Meadows Road (North),38.917171478271484,-92.33279418945312
3283,Conley Avenue & Tiger Avenue (North),38.94431686401367,-92.3298110961914
2485,Conley Avenue & Tiger Avenue (South),38.94442367553711,-92.3299331665039
2540,Green Meadows Road & Gray Oak Road (South),38.9131965637207,-92.32662963867188
3002,Green Meadows Road & Gray Oak Road at Walmart (North),38.913211822509766,-92.32643127441406
3001,Green Meadows Road and Carter Lane (South),38.91635513305664,-92.33296966552734
2570,Nifong Boulevard & Hyde Park Avenue,38.90953063964844,-92.32891082763672
2722,Nifong Boulevard at McDonald's,38.90985107421875,-92.33267974853516
3475,North Seventh Street & Ash Street (North),38.953556060791016,-92.32978057861328
3403,North Seventh Street & Ash Street (South),38.95370101928711,-92.32952880859375
3441,Providence Road & Buttonwood Drive,38.90666961669922,-92.33477783203125
2769,Providence Road & Carrie Francke Drive,38.93359375,-92.33717346191406
2941,Providence Road & Carter Lane (North),38.92039489746094,-92.3349380493164
3138,Providence Road & Carter Lane (South),38.920021057128906,-92.33556365966797
3365,Providence Road & Champions Drive,38.93363571166992,-92.33679962158203
2943,Providence Road & Mick Deaver Memorial Drive (North),38.9305534362793,-92.3378677368164
3137,Providence Road & Mick Deaver Memorial Drive (South),38.92961120605469,-92.33843994140625
